event_id,event_name,performer,event_date,venue_id,organizer_id,status
884762,matrix cross-media communities,Suzanne Lyons,2024-02-23,4,104,Canceled
126765,empower extensible info-mediaries,Derek Garcia,2024-03-17,1,101,Scheduled
633997,engage leading-edge niches,Jennifer Graves,2024-02-11,1,105,Canceled
232044,synthesize viral users,William Dawson,2024-09-21,5,105,Scheduled
200985,transform frictionless eyeballs,Ricky Pacheco,2024-06-02,3,101,Canceled
238461,redefine mission-critical synergies,Mary Hunt,2024-08-03,4,105,Scheduled
931133,engineer visionary initiatives,Richard Jones,2024-08-17,5,102,Canceled
669702,enhance sticky infrastructures,Kathryn Miller,2024-10-19,2,104,Completed
203301,revolutionize compelling ROI,Matthew Woods,2024-07-17,1,102,Scheduled
319037,revolutionize one-to-one bandwidth,Dean Hernandez,2023-12-17,2,101,Completed
